City,Country,Year,Ds,Event,discipline,category,rank,firstname,lastname,country,yob,Qualification 1 score,Qualification 1 rank,Qualification 2 score,Qualification 2 rank,Qualification score,Qualification rank,Semi-Final score,Semi-Final rank,1/8 score,1/4 score,1/2 score,Small Final score,Final score,Final rank
Moscow,RUS,2021,LBSC,WCH,lead,Men,1,Jakob,Schubert,AUT,1990,38,3,33+,5,4.69,4,40+,2,,,,,TOP,1
Moscow,RUS,2021,LBSC,WCH,lead,Men,2,Luka,Potocar,SLO,2001,36+,8,29+,9,9.25,10,40+,3,,,,,TOP,2
Moscow,RUS,2021,LBSC,WCH,lead,Men,3,Hamish,McArthur,GBR,2002,38+,2,33+,5,3.32,2,TOP,1,,,,,46+,3
Moscow,RUS,2021,LBSC,WCH,lead,Men,4,Martin,Stranik,CZE,1990,36+,8,28,18,13.44,13,40+,4,,,,,46,4
Moscow,RUS,2021,LBSC,WCH,lead,Men,5,Tomoa,Narasaki,JPN,1996,37+,6,36+,1,2.55,1,38,7,,,,,46,5
Moscow,RUS,2021,LBSC,WCH,lead,Men,6,Sebastian,Halenke,GER,1995,36,12,30,8,10.39,11,40,5,,,,,44+,6
Moscow,RUS,2021,LBSC,WCH,lead,Men,7,Yoshiyuki,Ogata,JPN,1998,36+,8,35,2,4.87,5,37+,8,,,,,44+,7
Moscow,RUS,2021,LBSC,WCH,lead,Men,8,Stefano,Ghisolfi,ITA,1993,36,12,26,29,19.79,19,40,6,,,,,34+,8
Moscow,RUS,2021,LBSC,WCH,lead,Men,9,Yannick,Flohé,GER,1999,38,3,28+,10,7.35,9,37+,9,,,,,,
Moscow,RUS,2021,LBSC,WCH,lead,Men,10,Sascha,Lehmann,SUI,1998,36+,8,34+,4,6.16,7,35+,10,,,,,,
Moscow,RUS,2021,LBSC,WCH,lead,Men,11,William,Bosi,GBR,1998,34+,18,26+,23,22.86,21,35+,11,,,,,,
Moscow,RUS,2021,LBSC,WCH,lead,Men,12,Satone,YOSHIDA,JPN,2004,34+,18,35,2,7.16,8,32,12,,,,,,
Moscow,RUS,2021,LBSC,WCH,lead,Men,13,Kokoro,Fujii,JPN,1992,TOP,1,28,18,4.36,3,31+,13,,,,,,
Moscow,RUS,2021,LBSC,WCH,lead,Men,14,Nicolas,Collin,BEL,1998,34+,18,26+,23,22.86,21,31+,14,,,,,,
Moscow,RUS,2021,LBSC,WCH,lead,Men,15,Jorg,Verhoeven,NED,1985,35+,16,28+,10,14.92,15,30,15,,,,,,
Moscow,RUS,2021,LBSC,WCH,lead,Men,16,Mathias,Posch,AUT,1999,33+,24,28+,10,18.19,17,28,16,,,,,,
Moscow,RUS,2021,LBSC,WCH,lead,Men,17,Hyunbin,Min,KOR,1989,38,3,31,7,5.29,6,27+,17,,,,,,
Moscow,RUS,2021,LBSC,WCH,lead,Men,18,Vladislav,Shevchenko,RUS,1998,37+,6,28,18,11.11,12,27+,18,,,,,,
Moscow,RUS,2021,LBSC,WCH,lead,Men,19,Fedir,Samoilov,UKR,1997,36,12,28+,10,13.5,14,27+,19,,,,,,
Moscow,RUS,2021,LBSC,WCH,lead,Men,20,Marcello,Bombardi,ITA,1993,33+,24,28+,10,18.19,17,27+,20,,,,,,
Moscow,RUS,2021,LBSC,WCH,lead,Men,21,Tomoaki,Takata,JPN,1995,27+,31,28+,10,22.05,20,26+,21,,,,,,
Moscow,RUS,2021,LBSC,WCH,lead,Men,22,Philipp,Martin,GER,1994,27+,31,27+,21,27.5,26,26+,22,,,,,,
Moscow,RUS,2021,LBSC,WCH,lead,Men,23,Filip,Schenk,ITA,2000,35+,16,24+,31,23.33,23,23+,23,,,,,,
Moscow,RUS,2021,LBSC,WCH,lead,Men,24,Martin,Bergant,SLO,1996,32+,26,26+,23,25.75,24,22+,24,,,,,,
Moscow,RUS,2021,LBSC,WCH,lead,Men,25,Domen,Skofic,SLO,1994,34+,18,28+,10,16.64,16,20+,25,,,,,,
Moscow,RUS,2021,LBSC,WCH,lead,Men,26,William,Ridal,GBR,1997,30+,27,26+,23,26.24,25,19+,26,,,,,,
Moscow,RUS,2021,LBSC,WCH,lead,Men,27,Milan,Preskar,SLO,1996,34+,18,23+,36,27.73,27,,,,,,,,
Moscow,RUS,2021,LBSC,WCH,lead,Men,28,Paul,Jenft,FRA,2003,36,12,18,66,30.07,28,,,,,,,,
Moscow,RUS,2021,LBSC,WCH,lead,Men,29,Ties,Vancraeynest,BEL,2003,27+,31,26+,23,30.3,29,,,,,,,,
Moscow,RUS,2021,LBSC,WCH,lead,Men,30,Yuval,Shemla,ISR,1998,34+,18,20+,54,33.43,30,,,,,,,,
Moscow,RUS,2021,LBSC,WCH,lead,Men,31,Evgenii,Zazulin,RUS,1991,28,30,23+,36,33.54,31,,,,,,,,
Moscow,RUS,2021,LBSC,WCH,lead,Men,32,Jongwon,CHON,KOR,1996,27+,31,24+,31,34.47,32,,,,,,,,
Moscow,RUS,2021,LBSC,WCH,lead,Men,32,Jan,Hojer,GER,1992,27+,31,24+,31,34.47,32,,,,,,,,
Moscow,RUS,2021,LBSC,WCH,lead,Men,34,Nino,Grünenfelder,SUI,2001,29+,28,22+,40,34.9,34,,,,,,,,
Moscow,RUS,2021,LBSC,WCH,lead,Men,35,James,Pope,GBR,1998,8,95,28+,10,35.91,35,,,,,,,,
Moscow,RUS,2021,LBSC,WCH,lead,Men,36,Ross,Fulkerson,USA,2001,27,42,25,30,35.92,36,,,,,,,,
Moscow,RUS,2021,LBSC,WCH,lead,Men,37,MINYOUNG,LEE,KOR,1999,25+,50,26+,23,36.24,37,,,,,,,,
Moscow,RUS,2021,LBSC,WCH,lead,Men,38,Maximillian,Milne,GBR,2000,27+,31,23+,36,36.74,38,,,,,,,,
Moscow,RUS,2021,LBSC,WCH,lead,Men,38,Mickael,Mawem,FRA,1990,27+,31,23+,36,36.74,38,,,,,,,,
Moscow,RUS,2021,LBSC,WCH,lead,Men,40,Christoph,Hanke,GER,1994,22+,59,27,22,36.78,40,,,,,,,,
Moscow,RUS,2021,LBSC,WCH,lead,Men,41,Simon,Potucek,CZE,2001,28+,29,22,48,37.7,41,,,,,,,,
Moscow,RUS,2021,LBSC,WCH,lead,Men,42,Ellis,Ernsberger,USA,2003,27+,31,22+,40,39.57,42,,,,,,,,
Moscow,RUS,2021,LBSC,WCH,lead,Men,42,Alex,Khazanov,ISR,1995,27+,31,22+,40,39.57,42,,,,,,,,
Moscow,RUS,2021,LBSC,WCH,lead,Men,44,Mikel Asier,Linacisoro Molina,ESP,2000,27+,31,22,48,42,44,,,,,,,,
Moscow,RUS,2021,LBSC,WCH,lead,Men,45,Davide Marco,Colombo,ITA,2002,27,42,22+,40,43.25,45,,,,,,,,
Moscow,RUS,2021,LBSC,WCH,lead,Men,45,Reza,Kolasangian,IRI,1992,27,42,22+,40,43.25,45,,,,,,,,
Moscow,RUS,2021,LBSC,WCH,lead,Men,47,Ram,Levin,ISR,1998,26,46,22+,40,45.46,47,,,,,,,,
Moscow,RUS,2021,LBSC,WCH,lead,Men,47,Michael,Piccolruaz,ITA,1995,26,46,22+,40,45.46,47,,,,,,,,
Moscow,RUS,2021,LBSC,WCH,lead,Men,49,Dylan,Chuat,SUI,2000,25+,50,22+,40,47.33,49,,,,,,,,
Moscow,RUS,2021,LBSC,WCH,lead,Men,50,Julien,Clémence,SUI,2001,18+,72,24+,31,49.08,50,,,,,,,,
Moscow,RUS,2021,LBSC,WCH,lead,Men,51,Anze,Peharc,SLO,1997,27+,31,18,66,49.11,51,,,,,,,,
Moscow,RUS,2021,LBSC,WCH,lead,Men,52,Sergei,Tiupyshev,RUS,2000,26,46,21+,51,49.46,52,,,,,,,,
Moscow,RUS,2021,LBSC,WCH,lead,Men,53,Kindar,McNamee,CAN,2002,16+,78,24+,31,52.18,53,,,,,,,,
Moscow,RUS,2021,LBSC,WCH,lead,Men,54,Felipe ,Ho Foganholo,BRA,1999,25+,50,20+,54,52.98,54,,,,,,,,
Moscow,RUS,2021,LBSC,WCH,lead,Men,55,Campbell,Harrison,AUS,1997,26,46,19,61,54.49,55,,,,,,,,
Moscow,RUS,2021,LBSC,WCH,lead,Men,56,Fredrik,Serlachius,SWE,1998,25+,50,19+,57,54.89,56,,,,,,,,
Moscow,RUS,2021,LBSC,WCH,lead,Men,57,Guy,McNamee,CAN,2002,22+,59,22,48,54.9,57,,,,,,,,
Moscow,RUS,2021,LBSC,WCH,lead,Men,58,Benjamin,Hanna,USA,1998,22+,59,21+,51,56.28,58,,,,,,,,
Moscow,RUS,2021,LBSC,WCH,lead,Men,59,Tomas,Plevko,SVK,1999,26+,45,16+,70,56.72,59,,,,,,,,
Moscow,RUS,2021,LBSC,WCH,lead,Men,60,Carlos,Granja,ECU,1999,22+,59,21,53,57.09,60,,,,,,,,
Moscow,RUS,2021,LBSC,WCH,lead,Men,61,Stepan,Potucek,CZE,2001,25,54,19,61,58.9,61,,,,,,,,
Moscow,RUS,2021,LBSC,WCH,lead,Men,62,Galo ,Hernandez,ECU,2000,22+,59,19+,57,59.98,62,,,,,,,,
Moscow,RUS,2021,LBSC,WCH,lead,Men,63,Kipras,Baltrunas,LTU,1992,21,65,20,56,60.33,63,,,,,,,,
Moscow,RUS,2021,LBSC,WCH,lead,Men,64,Isaac,Leff,USA,2004,22+,59,19,61,62,64,,,,,,,,
Moscow,RUS,2021,LBSC,WCH,lead,Men,65,Sergii,Topishko,UKR,1988,20,66,19+,57,62.14,65,,,,,,,,
Moscow,RUS,2021,LBSC,WCH,lead,Men,66,Edvards,Gruzitis,LAT,2004,23,58,18,66,62.34,66,,,,,,,,
Moscow,RUS,2021,LBSC,WCH,lead,Men,67,Mark,Brand,NED,1998,25,54,16+,70,62.99,67,,,,,,,,
Moscow,RUS,2021,LBSC,WCH,lead,Men,67,Vadim,Malshchukov,RUS,1998,25,54,16+,70,62.99,67,,,,,,,,
Moscow,RUS,2021,LBSC,WCH,lead,Men,69,Dmitrii,Popov,RUS,1997,19+,67,19+,57,63.53,69,,,,,,,,
Moscow,RUS,2021,LBSC,WCH,lead,Men,70,Samuel Carlos  ,Da Silva,BRA,2002,19+,67,18+,65,66.97,70,,,,,,,,
Moscow,RUS,2021,LBSC,WCH,lead,Men,71,Alex,Mendes Júnior,BRA,1999,17+,75,19,61,68.92,71,,,,,,,,
Moscow,RUS,2021,LBSC,WCH,lead,Men,72,Chia Hsiang,Lin,TPE,1998,19+,67,17+,69,69,72,,,,,,,,
Moscow,RUS,2021,LBSC,WCH,lead,Men,73,Leonid,Osadchyi,UKR,2001,19+,67,16+,70,70.24,73,,,,,,,,
Moscow,RUS,2021,LBSC,WCH,lead,Men,74,Radin,Foroughian,IRI,2004,25,54,,,72.99,74,,,,,,,,
Moscow,RUS,2021,LBSC,WCH,lead,Men,75,Nichol,Tomas,THA,2004,19+,67,13,82,75.9,75,,,,,,,,
Moscow,RUS,2021,LBSC,WCH,lead,Men,76,Geva,Levin,ISR,2003,18+,72,13+,78,76.18,76,,,,,,,,
